unique_id,ds,Naive,SeasonalNaive,Drift,AutoETS,AutoARIMA
hotel_0,2023-07-01,0.8271604938271605,0.9506172839506173,0.8268886623626684,0.8542002171862775,0.8894995990534879
hotel_0,2023-07-02,0.8271604938271605,0.5061728395061729,0.8266168308981765,0.6258887772485338,0.6525592801429422
hotel_0,2023-07-03,0.8271604938271605,0.5802469135802469,0.8263449994336844,0.6466666000710888,0.6464262955626798
hotel_0,2023-07-04,0.8271604938271605,0.691358024691358,0.8260731679691924,0.6839896656640166,0.7191560445500734
hotel_0,2023-07-05,0.8271604938271605,0.654320987654321,0.8258013365047004,0.6812325870362248,0.7016716496331491
hotel_0,2023-07-06,0.8271604938271605,0.7160493827160493,0.8255295050402084,0.7182355754828911,0.7304071227372064
hotel_0,2023-07-07,0.8271604938271605,0.8271604938271605,0.8252576735757164,0.8220192023642633,0.7759894710696807
hotel_0,2023-07-08,0.8271604938271605,0.9506172839506173,0.8249858421112244,0.8542002171862775,0.8238722128073007
hotel_0,2023-07-09,0.8271604938271605,0.5061728395061729,0.8247140106467323,0.6258887772485338,0.6538732154285476
hotel_0,2023-07-10,0.8271604938271605,0.5802469135802469,0.8244421791822404,0.6466666000710888,0.666945845697229
hotel_0,2023-07-11,0.8271604938271605,0.691358024691358,0.8241703477177483,0.6839896656640166,0.7136211342470848
hotel_0,2023-07-12,0.8271604938271605,0.654320987654321,0.8238985162532563,0.6812325870362248,0.7001372858194339
hotel_0,2023-07-13,0.8271604938271605,0.7160493827160493,0.8236266847887643,0.7182355754828911,0.7222699280857443
hotel_0,2023-07-14,0.8271604938271605,0.8271604938271605,0.8233548533242723,0.8220192023642633,0.7601621404026678
hotel_0,2023-07-15,0.8271604938271605,0.9506172839506173,0.8230830218597803,0.8542002171862775,0.7887313318411449
hotel_0,2023-07-16,0.8271604938271605,0.5061728395061729,0.8228111903952883,0.6258887772485338,0.6839832894658016
hotel_0,2023-07-17,0.8271604938271605,0.5802469135802469,0.8225393589307962,0.6466666000710888,0.686991010373236
hotel_0,2023-07-18,0.8271604938271605,0.691358024691358,0.8222675274663043,0.6839896656640166,0.7173302995570762
hotel_0,2023-07-19,0.8271604938271605,0.654320987654321,0.8219956960018122,0.6812325870362248,0.7092908499467994
hotel_0,2023-07-20,0.8271604938271605,0.7160493827160493,0.8217238645373202,0.7182355754828911,0.7224877560458105
hotel_0,2023-07-21,0.8271604938271605,0.8271604938271605,0.8214520330728282,0.8220192023642633,0.7443358004916296
hotel_0,2023-07-22,0.8271604938271605,0.9506172839506173,0.8211802016083362,0.8542002171862775,0.7636046528836785
hotel_0,2023-07-23,0.8271604938271605,0.5061728395061729,0.8209083701438442,0.6258887772485338,0.6941036845451936
hotel_0,2023-07-24,0.8271604938271605,0.5802469135802469,0.8206365386793522,0.6466666000710888,0.6977937145414845
hotel_0,2023-07-25,0.8271604938271605,0.691358024691358,0.8203647072148601,0.6839896656640166,0.7173934246500844
hotel_0,2023-07-26,0.8271604938271605,0.654320987654321,0.8200928757503682,0.6812325870362248,0.7119688584980944
hotel_0,2023-07-27,0.8271604938271605,0.7160493827160493,0.8198210442858761,0.7182355754828911,0.720872887779435
hotel_0,2023-07-28,0.8271604938271605,0.8271604938271605,0.819549212821384,0.8220192023642633,0.7358726980163879
hotel_105,2023-07-01,1.0,0.9874213836477987,1.0003923605100686,1.0476449387846933,0.9858242225962766
hotel_105,2023-07-02,1.0,0.9937106918238994,1.0007847210201373,0.9616544656744862,0.9937180425997397
hotel_105,2023-07-03,1.0,1.0188679245283019,1.001177081530206,1.0073316004594441,1.0068732332877202
hotel_105,2023-07-04,1.0,1.0314465408805031,1.0015694420402748,1.0373367269875087,1.0099754377931087
