unique_id,cutoff,metric,Naive,SeasonalNaive,Drift,AutoETS,AutoARIMA,LGBMRegressor,AutoNBEATS,AutoNHITS,Chronos,best_model
hotel_0,2023-02-10,bias,-0.17901234567901234,-0.09611992945326278,-0.18917847889041303,-0.20373964274949868,-0.06123962812603672,-0.023938245553223707,-0.19666552693440167,24554001262099.87,-0.0840622414514501,AutoETS
hotel_105,2023-02-10,bias,0.18890386343216534,-0.04919137466307279,0.19453318247867515,-0.016909521594322196,-0.028763633613814208,-0.01708330375986426,-0.2866099804325192,1562384.1413748246,-0.0094789663281188,AutoNBEATS
hotel_112,2023-02-10,bias,0.1176339285714286,0.07477678571428571,0.12636078042328044,0.08589922949513651,0.04838274537874505,0.016507943909557354,0.09181796652930123,inf,0.04700614299092974,LGBMRegressor
hotel_126,2023-02-10,bias,0.0017074558907227819,0.006829823562891278,-0.0012879698138662718,-0.04310797212838098,-0.024430324406124488,-0.04264807623889923,0.006157908586527578,inf,0.008055235124068558,AutoETS
hotel_133,2023-02-10,bias,-0.1176814988290398,-0.04039812646370023,-0.11885535027611528,-0.12325381727191805,-0.041153693312442244,0.007884567005967291,-0.13556647422860882,5.095646471693706e+20,0.0064618617854576245,AutoNBEATS
hotel_14,2023-02-10,bias,-0.0539083557951482,-0.06603773584905659,-0.047828691224917605,-0.046033903206538426,-0.06853984907685085,-0.04840452497177621,-0.09818010955968637,4.918584496690678e+34,-0.026912225867217456,AutoNBEATS
hotel_21,2023-02-10,bias,-0.0019841269841269493,-0.0033068783068783097,-0.0024813834999019807,-0.004622343354040346,-0.04908517436684777,0.007376794517315897,-0.06490873304939773,inf,-0.0031483159967200408,AutoNBEATS
hotel_28,2023-02-10,bias,0.0,0.0,-0.029537037037037035,0.006850707774334282,-0.0025847488743147616,-0.011639639699429811,0.028409606459068266,inf,0.0010200760194233485,Drift
hotel_35,2023-02-10,bias,-0.171875,-0.17661830357142858,-0.16306423611111112,-0.13188815587576969,-0.108470259110702,0.006878356959486881,-0.16575206816196442,inf,-0.20880149837051118,Chronos
hotel_42,2023-02-10,bias,-0.175534991324465,-0.186524002313476,-0.176549636198759,-0.21965283401245514,-0.06741641337712355,0.004116402139419515,-0.18722893723850653,inf,-0.024583426973701146,AutoETS
hotel_49,2023-02-10,bias,0.16032439176543978,0.15595757953836556,0.16032439176543978,0.11041407204514526,0.11645398772476212,0.0545822344148738,0.08936350671336268,inf,0.1407901707081518,LGBMRegressor
hotel_56,2023-02-10,bias,-0.052976190476190434,-0.010119047619047614,-0.05566137566137562,-0.042360074740681056,-0.040978988201582044,-0.027861918655944427,-0.02941238482793172,inf,-0.010095830758412678,Drift
hotel_63,2023-02-10,bias,0.11349206349206355,-0.012222222222222223,0.12176641191456014,0.028882917183112953,0.012701327828286093,-0.005649501922493598,-0.1817799511031499,2.6336875814995527e+30,-0.02720924385010249,AutoNBEATS
hotel_7,2023-02-10,bias,0.02716379711493719,-0.06311074918566777,0.03223678541268119,-0.08043818197776373,-0.06573611760010216,-0.015461775859533304,-0.08162307603004759,inf,-0.04460627768707033,AutoNBEATS
hotel_70,2023-02-10,bias,0.03837719298245616,-0.07315162907268169,0.02785629196447912,-0.05969260417375503,0.022112223294505334,0.023020541280072256,-0.18043339496156327,inf,-0.02109309369908239,AutoNBEATS
hotel_84,2023-02-10,bias,0.06957488877904107,-0.06883341571922887,0.07936172290266873,-0.056858837124692196,-0.11457952545137122,-0.0030035993257496243,-0.08925419504460992,inf,-0.12510430697191485,Chronos
hotel_91,2023-02-10,bias,-0.18900481540930977,0.07263242375601926,-0.18216614152943736,-0.1161718914351827,-0.0175045936148141,-0.04364876881716933,-0.22851364491552256,inf,0.001165030616818433,AutoNBEATS
hotel_98,2023-02-10,bias,-0.19210829493087558,-0.21860599078341014,-0.20769969278033792,-0.2549711469081382,-0.1851826206280059,-0.01847091608931507,-0.2275506173891406,inf,-0.21122087335668951,AutoETS
hotel_0,2023-03-10,bias,0.09656084656084654,0.01014109347442682,0.0969742699919759,-0.006513779718504898,0.04092312434716968,-0.029707767031977216,0.05166116036225042,inf,0.009071359663833847,LGBMRegressor
hotel_105,2023-03-10,bias,0.0029200359389038983,-0.08872416891284818,0.0031306478755169747,-0.11801350782011764,-0.07614798571959427,-0.019882743198015477,-0.028346158329795753,5.354104645425418e+17,-0.013424840122327447,AutoETS
hotel_112,2023-03-10,bias,0.03995535714285719,-0.005580357142857163,0.046862112339162036,-0.014506203825716534,-0.028469113979920184,-0.007529006222825493,-0.07875399717262813,6468399040664.639,0.008878460952213828,AutoNBEATS
hotel_126,2023-03-10,bias,-0.0008537279453614108,-0.002561183836084232,-0.0009871434749290523,-0.05034112712797502,-0.007488011818961364,-0.02101454686251124,-0.023466267968079015,290160721.97601014,-0.022683326899157245,AutoETS
hotel_133,2023-03-10,bias,-0.06733021077283376,-0.09309133489461356,-0.059644601413806016,-0.12586338862725927,-0.1981834898335328,-0.019502381160380947,-0.29500939007804877,4884.118153749274,-0.12468885792641785,AutoNBEATS
hotel_14,2023-03-10,bias,0.16071428571428575,0.012466307277628054,0.1708236586717131,0.07920371631398851,0.024164123266496175,-0.01722444357447853,0.09229264346094465,inf,0.07077549442126743,LGBMRegressor
hotel_21,2023-03-10,bias,0.007771164021163989,-0.004794973544973539,0.007616130234490481,0.0015486258521188218,-0.025652253712693713,-0.010451057249888953,0.011951888285616727,inf,0.001869379449142989,AutoARIMA
hotel_28,2023-03-10,bias,-0.0008928571428571429,-0.0008928571428571429,-0.028519877928076538,0.00758969329997358,-0.0015392977677216614,-0.009411467513380652,-0.0043928687053266914,inf,-0.006143825181892939,Drift
hotel_35,2023-03-10,bias,-0.11990792410714286,-0.04736328125,-0.10950854838543385,-0.07257767389644444,-0.16059526556738973,0.025269584830679585,-0.09617438699517931,inf,-0.1058867233140128,AutoARIMA
hotel_42,2023-03-10,bias,-0.3108733371891267,0.06333140543666858,-0.3165675335968274,-0.21018888004848743,0.009506949012264124,-0.004408021658183568,-0.14873535109348832,inf,0.05570484987395978,Drift
hotel_49,2023-03-10,bias,-0.03976918278228319,-0.012320648783530884,-0.04678835439901222,-0.08241717808436577,0.020270462526472417,0.02104611969360029,0.01741410153252736,inf,-0.0027419286114829127,AutoETS
hotel_56,2023-03-10,bias,0.01011904761904762,-0.0029761904761904773,0.01011904761904762,-0.015413938232951337,-0.04164748125873498,-0.013154484098295829,-0.0060715855587096445,inf,0.0027853921765372863,AutoARIMA
hotel_63,2023-03-10,bias,0.1838095238095238,-0.10761904761904763,0.19646028080208217,0.05368492986527022,-0.09000938349208985,-0.03961977748234248,-0.15171655938738868,417.12394594687794,-0.03723424386410488,AutoNBEATS
hotel_7,2023-03-10,bias,0.23441135411819447,0.1285481619357841,0.2425377505193349,0.1315165232674896,0.09901864078684205,0.007202304555132955,0.15836124079498706,inf,0.08882219833917761,LGBMRegressor
hotel_70,2023-03-10,bias,-0.004855889724310802,0.01018170426065162,-0.016312070592184875,-0.09617807937501295,-0.055077702639411655,0.015189601303908767,-0.0469326550668493,inf,0.019479109959345407,AutoETS
hotel_84,2023-03-10,bias,0.20785961443400894,0.0625308947108255,0.2223437398325721,0.042468935405234366,0.015765774735258264,-0.0016249356145206031,0.07177435203436514,inf,0.021779170218400305,LGBMRegressor
hotel_91,2023-03-10,bias,-0.12841091492776882,-0.18619582664526482,-0.11862810879340445,-0.16465008589731284,-0.1388113975740893,-0.034171333767335714,-0.09506746354015069,inf,-0.08051880634424201,SeasonalNaive
hotel_98,2023-03-10,bias,0.18922811059907832,0.03254608294930876,0.18382693351496895,0.10937997270947886,0.026573135493064292,-0.004750112955112745,0.14237233986090955,inf,-0.02100530702809584,Chronos
hotel_0,2023-04-07,bias,0.3262786596119929,0.34567901234567894,0.32589034649772175,0.2740498616830464,0.3048355507926977,-8.29958761175083e-05,0.24044716726114723,5375349165824457.0,0.27341786820632025,LGBMRegressor
hotel_105,2023-04-07,bias,0.16127583108715185,-0.02830188679245282,0.16701260785081848,0.025023163881863854,-0.004154659026093244,-0.03412367123524218,-0.06187464051812165,inf,0.02398656979404048,AutoNBEATS
hotel_112,2023-04-07,bias,-0.1611607142857143,-0.07008928571428573,-0.1631265494267121,-0.09603291203554475,0.0018719827625691171,-0.035401317343833706,-0.04639388663428171,1.8350664565905398e+25,0.06309156928743634,Drift
hotel_126,2023-04-07,bias,0.023477518497438815,0.026323278315310183,0.02335220629721585,-0.021805462290823707,0.03842476377259544,-0.04328212769152251,-0.017869238215342264,inf,0.022497294331791044,LGBMRegressor
hotel_133,2023-04-07,bias,0.11943793911007027,0.10772833723653395,0.13078177467779545,0.07290523100075573,0.08665877321625486,-0.011513953535547655,-0.004781365638873618,25368383.964197654,0.04045643526580909,LGBMRegressor
hotel_14,2023-04-07,bias,-0.06469002695417796,-0.029649595687331557,-0.06053580929772971,-0.07132381880121084,-0.05114865696106644,-0.04775794797564933,-0.02958053250036472,1.9094071048644787e+24,-0.05462044164176901,AutoETS
hotel_21,2023-04-07,bias,0.0049603174603174306,0.010912698412698393,0.004086612953207288,-0.0016188253287529003,0.017466207128898254,-0.025215309324623247,0.005648683145563442,inf,0.013010333612482387,LGBMRegressor
hotel_28,2023-04-07,bias,0.0,0.0,-0.025949023861171365,0.007165544864879978,7.913137693376462e-05,0.0027529064764595505,-9.151726378929328e-05,inf,-0.008971064218452998,Drift
hotel_35,2023-04-07,bias,-0.25313895089285715,-0.14376395089285715,-0.24674998668461418,-0.2253010071825968,-0.3716592676034572,0.02607555650528309,-0.18702231986182077,inf,-0.19868529907294682,AutoARIMA
hotel_42,2023-04-07,bias,-0.2261422787738577,-0.058993637941006365,-0.2261422787738577,-0.19593946427657144,-0.0775564189697393,0.0011164737291838836,-0.30184317534674177,736976250535.9248,0.011715265308728176,AutoNBEATS
hotel_49,2023-04-07,bias,0.10199625701809112,0.0988771054273238,0.09677692179657724,0.059158553923971194,0.10755109299746539,0.022280918868364974,0.10974822467145366,inf,0.10427671625364296,LGBMRegressor
hotel_56,2023-04-07,bias,0.01934523809523805,0.02886904761904762,0.018821015390971956,-0.0023002628276822296,-0.012722057259153957,-0.024851440374037255,0.024251393193290356,inf,0.028137198800132397,LGBMRegressor
hotel_63,2023-04-07,bias,0.16095238095238099,0.09999999999999999,0.16864098061495028,0.064823946395189,0.09750613815514404,0.018950507998268203,0.12981281289032529,21314.373538162217,0.10151446470192502,LGBMRegressor
hotel_7,2023-04-07,bias,0.0923685435086087,-0.09865053513261982,0.09703019817520941,-0.01941971203070954,-0.004356173872493168,-0.005802832004156293,-0.00504063863763148,inf,-0.03337436750454923,SeasonalNaive
hotel_70,2023-04-07,bias,-0.018170426065162924,0.07957393483709273,-0.03058622695567554,-0.07550437369185801,-0.041771256695507686,-0.00022795700137001607,-0.006889750821548597,inf,0.007672956040628571,AutoETS
hotel_84,2023-04-07,bias,-0.11134453781512607,0.06512605042016807,-0.10720880160153896,-0.12445694186073039,-0.007770332560339571,-0.014869230521315554,-0.2045033468109396,inf,0.05971135194650452,AutoNBEATS
hotel_91,2023-04-07,bias,0.2772873194221509,0.19060995184590693,0.2974316076085556,0.25359435005901354,0.15109318895921478,-0.012359542701424617,0.1958815392770507,inf,0.16456650848086343,LGBMRegressor
hotel_98,2023-04-07,bias,0.22609447004608293,0.06365207373271889,0.22127500324879792,0.13541074383922655,0.04011563132362274,0.0009379514739374739,0.18030050685328822,inf,0.01474389988362515,LGBMRegressor
hotel_0,2023-05-05,bias,0.2081128747795414,0.05820105820105819,0.20481816903084793,0.098951231858518,0.08778209790712278,-0.016788816978024382,0.018083023804205456,10057751296.360256,0.1322294139357471,LGBMRegressor
hotel_105,2023-05-05,bias,-0.03953279424977537,-0.15633423180592992,-0.03617592424167258,-0.132881436186755,-0.11566630487990522,-0.04597995723142151,-0.12739129100741295,12040767890215.332,-0.07591511684018862,SeasonalNaive
hotel_112,2023-05-05,bias,-0.19977678571428567,-0.08459821428571428,-0.2001474401110137,-0.11823953652348758,-0.0831295063726867,-0.0009100855802094925,-0.10021898448467256,inf,-0.03951065540313722,Drift
hotel_126,2023-05-05,bias,0.01807057484348321,0.0032726237905520744,0.01807057484348321,-0.018563053350096465,-0.005323694537835861,-0.03172922417354581,-0.01084687626524683,inf,0.00808047650378742,LGBMRegressor
hotel_133,2023-05-05,bias,0.10421545667447309,-0.057377049180327856,0.11490974746531425,0.03839387742132416,-0.003014292903558452,0.011516705428306193,-0.03400581146849959,inf,-0.005372357452222821,SeasonalNaive
hotel_14,2023-05-05,bias,0.2695417789757413,0.1778975741239892,0.27877317149802394,0.16816379227072312,0.14562404989957742,-0.018649831260921148,0.22297051099111448,inf,0.09701736885903658,LGBMRegressor
hotel_21,2023-05-05,bias,0.05803571428571427,-0.010085978835978834,0.05803571428571427,0.050549966752726605,0.03424097193661909,-0.015649552094365523,0.0456113332005405,inf,0.04017293729163983,LGBMRegressor
hotel_28,2023-05-05,bias,0.0,0.0,-0.024463190184049077,0.0053445905479405495,-9.583644620401454e-05,0.001495624413310978,-0.00039042923029748114,inf,-0.005947652672018323,Drift
hotel_35,2023-05-05,bias,-0.0016741071428571428,0.08537946428571429,0.009735098506427111,0.02543355418330795,-0.0294653404362075,0.007963218651975332,-0.028641692229679654,inf,-0.017019007887159075,AutoARIMA
hotel_42,2023-05-05,bias,0.31058415268941586,0.11220358588779641,0.3249901535339056,0.2269717221490559,0.03265397281090191,-0.008996947294036838,0.16009179805661297,1.473794989076659e+34,0.04109888826752756,LGBMRegressor
hotel_49,2023-05-05,bias,0.12008733624454156,0.055832813474734885,0.11257713362088219,0.07780292730914126,0.08297562819303435,0.05894582140996392,0.09966251533885191,1.5296072075339727e+20,0.10497902187792421,SeasonalNaive
hotel_56,2023-05-05,bias,0.11130952380952386,0.03988095238095239,0.11106242087837183,0.07279087122936555,0.05690878778634244,-0.060953354128464775,0.08144271288599289,inf,0.09732691219874792,LGBMRegressor
